"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"hudtnnut  ","P",04/06/2022 10:47,0,1,1         ,1         ,"{COC} {PNP} {TSE} {WS1}",0.014,<0>  ,0.044,<0>  ,"","","","",0.097,<0>  ,2.12,<1> (CHB) ,
"hudtnnut  ","P",04/06/2022 10:48,0,1,1         ,2         ,"{COC} {PNP} {TSE} {WS1}",0.014,<0>  ,0.041,<0>  ,"","","","",0.111,<0>  ,2.31,<1> (CHB) ,
"hudtnnut  ","P",06/01/2022 9:48,0,1,1         ,1         ,"{COC} {PNP} {TSE} {WS0}",0.01,<1> (CHB) ,0.104,<0>  ,"","","","",0.229,<0>  ,2.74,<1> (CHB) ,
"hudtnnut  ","P",06/01/2022 9:49,0,1,1         ,2         ,"{COC} {PNP} {TSE} {WS0}",0.009,<1> (CHB) ,0.146,<0>  ,"","","","",0.269,<0>  ,3.08,<1> (CHB) ,
"hudtnnut  ","P",06/16/2022 9:49,0,1,1         ,1         ,"{COC} {PNP} {TSE} {WS0}",0.006,<1> (CHB) ,0.035,<0>  ,"","","","",0.339,<1> (CHB) ,0.53,<1> (CHB) ,
"hudtnnut  ","P",06/16/2022 9:50,0,1,1         ,2         ,"{COC} {PNP} {TSE} {WS0}",0.006,<1> (CHB) ,0.02,<0>  ,"","","","",0.227,<1> (CHB) ,1.33,<1> (CHB) ,
"hudtnnut  ","P",07/15/2022 9:17,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WS1}",0.021,<1> (CHB) ,0.014,<0>  ,"","","","",0.405,<0>  ,4.12,<0>  ,
"hudtnnut  ","P",07/15/2022 9:18,0,1,1         ,2         ,"{CCL} {PNP} {TSE} {WS1}",0.015,<1> (CHB) ,0.016,<0>  ,"","","","",0.433,<0>  ,4.5,<0>  ,
"hudtnnut  ","P",08/03/2022 10:10,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WS0}",0.02,<0>  ,0.003,<-4> [SBL] (CHB) ,"","","","",0.334,<1> (CHB) ,3.28,<1> (CHB) ,
"hudtnnut  ","P",08/03/2022 10:11,0,1,1         ,2         ,"{CCL} {PNP} {TSE} {WS0}",0.019,<0>  ,0.003,<-4> [SBL] (CHB) ,"","","","",0.342,<1> (CHB) ,2.88,<1> (CHB) ,
"hudtnnut  ","P",09/13/2022 9:31,0,1,1         ,1         ,"{CPB} {PNP} {TSL} {WS1}",0.017,<0>  ,0.003,<-4> [SBL] ,"","","","",0.375,<0>  ,1.39,<0>  ,
"hudtnnut  ","P",09/13/2022 9:32,0,1,1         ,2         ,"{CPB} {PNP} {TSL} {WS1}",0.015,<0>  ,0.003,<-4> [SBL] ,"","","","",0.364,<0>  ,0.76,<0>  ,
"hudtnnut  ","P",10/12/2022 9:45,0,1,1         ,1         ,"{CCL} {PNP} {TSF} {WS0}",0.016,<0>  ,0.003,<-4> [SBL] ,"","","","",0.256,<0>  ,3.78,<0>  ,
"hudtnnut  ","P",10/12/2022 9:46,0,1,1         ,2         ,"{CCL} {PNP} {TSF} {WS0}",0.016,<0>  ,0.003,<-4> [SBL] ,"","","","",0.24,<0>  ,3.2,<0>  ,
"hudtnnut  ","P",11/15/2022 12:00,0,1,1         ,1         ,"{CPB} {PNP} {TSL} {WS1}",0.02,<0>  ,0.003,<-4> [SBL] ,"","","","",0.363,<0>  ,1.86,<0>  ,
"hudtnnut  ","P",11/15/2022 12:01,0,1,1         ,2         ,"{CPB} {PNP} {TSL} {WS1}",0.018,<0>  ,0.003,<-4> [SBL] ,"","","","",0.363,<0>  ,1.67,<0>  ,
"hudtnnut  ","P",12/14/2022 11:42,0,1,1         ,1         ,"{CCL} {PNP} {TSL} {WS1}",0.018,<0>  ,0.041,<0>  ,"","","","",0.344,<0>  ,0.82,<0>  ,
"hudtnnut  ","P",12/14/2022 11:43,0,1,1         ,2         ,"{CCL} {PNP} {TSL} {WS1}",0.026,<0>  ,0.041,<0>  ,"","","","",0.339,<0>  ,0.89,<0>  ,

