"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"hudtsnut  ","P",03/28/2016 23:00,1,1,2         ,1         ,"",0.004,<1> (CHB) ,0.07,<1> (CHB) ,"","",0.35,<1> (CHB) ,"",<0>  ,3.52,<1> (CHB) ,
"hudtsnut  ","P",03/29/2016 1:30,1,1,2         ,1         ,"",0.005,<1> (CHB) ,0.06,<1> (CHB) ,"","",0.39,<1> (CHB) ,"",<0>  ,1.47,<1> (CHB) ,
"hudtsnut  ","P",03/29/2016 4:00,1,1,2         ,1         ,"",0.006,<1> (CHB) ,0.08,<1> (CHB) ,"","",0.42,<1> (CHB) ,"",<0>  ,2.92,<1> (CHB) ,
"hudtsnut  ","P",03/29/2016 6:30,1,1,2         ,1         ,"",0.004,<1> (CHB) ,0.07,<1> (CHB) ,"","",0.43,<1> (CHB) ,"",<0>  ,1.3,<1> (CHB) ,
"hudtsnut  ","P",03/29/2016 9:00,1,1,2         ,1         ,"",0.008,<1> (CHB) ,0.06,<1> (CHB) ,"","",0.41,<1> (CHB) ,"",<0>  ,2.14,<1> (CHB) ,
"hudtsnut  ","P",03/29/2016 10:55,1,1,1         ,1         ,"{CCL} {PNP} {TSE} {WS1}",0.004,<1> (CHB) ,0.05,<1> (CHB) ,"","",0.42,<1> (CHB) ,"",<0>  ,0.47,<1> (CHB) ,
"hudtsnut  ","P",03/29/2016 10:56,1,1,1         ,2         ,"{CCL} {PNP} {TSE} {WS1}",0.005,<1> (CHB) ,0.05,<1> (CHB) ,"","",0.42,<1> (CHB) ,"",<0>  ,0.37,<1> (CHB) ,
"hudtsnut  ","P",03/29/2016 11:30,1,1,2         ,1         ,"{CCL} {PNP} {TSE} {WS1}",0.005,<1> (CHB) ,0.05,<1> (CHB) ,"","",0.41,<1> (CHB) ,"",<0>  ,4.49,<1> (CHB) ,
"hudtsnut  ","P",03/29/2016 14:00,1,1,2         ,1         ,"",0.008,<1> (CHB) ,0.05,<1> (CHB) ,"","",0.4,<1> (CHB) ,"",<0>  ,1.79,<1> (CHB) ,
"hudtsnut  ","P",03/29/2016 16:30,1,1,2         ,1         ,"",0.006,<1> (CHB) ,0.06,<1> (CHB) ,"","",0.41,<1> (CHB) ,"",<0>  ,1.29,<1> (CHB) ,
"hudtsnut  ","P",03/29/2016 19:00,1,1,2         ,1         ,"",0.006,<1> (CHB) ,0.06,<1> (CHB) ,"","",0.43,<1> (CHB) ,"",<0>  ,1.47,<1> (CHB) ,
"hudtsnut  ","P",03/29/2016 21:30,1,1,2         ,1         ,"",0.007,<1> (CHB) ,0.09,<1> (CHB) ,"","",0.41,<1> (CHB) ,"",<0>  ,1.6,<1> (CHB) ,
"hudtsnut  ","P",03/30/2016 0:00,1,1,2         ,1         ,"",0.007,<1> (CHB) ,0.08,<1> (CHB) ,"","",0.37,<1> (CHB) ,"",<0>  ,1.09,<1> (CHB) ,
"hudtsnut  ","P",03/30/2016 2:30,1,1,2         ,1         ,"",0.006,<1> (CHB) ,0.06,<1> (CHB) ,"","",0.43,<1> (CHB) ,"",<0>  ,0.85,<1> (CHB) ,
"hudtsnut  ","P",04/19/2016 18:30,1,1,2         ,1         ,"",0.003,<1> (CHB) ,0.05,<1> (CHB) ,"","",0.4,<1> (CHB) ,"",<0>  ,6.53,<1> (CHB) ,
"hudtsnut  ","P",04/19/2016 21:00,1,1,2         ,1         ,"",0.006,<1> (CHB) ,0.05,<1> (CHB) ,"","",0.46,<1> (CHB) ,"",<0>  ,1.46,<1> (CHB) ,
"hudtsnut  ","P",04/19/2016 23:30,1,1,2         ,1         ,"",0.005,<1> (CHB) ,0.05,<1> (CHB) ,"","",0.41,<1> (CHB) ,"",<0>  ,1.36,<1> (CHB) ,
"hudtsnut  ","P",04/20/2016 2:00,1,1,2         ,1         ,"",0.006,<1> (CHB) ,0.05,<1> (CHB) ,"","",0.45,<1> (CHB) ,"",<0>  ,2.24,<1> (CHB) ,
"hudtsnut  ","P",04/20/2016 4:30,1,1,2         ,1         ,"",0.005,<1> (CHB) ,0.05,<1> (CHB) ,"","",0.43,<1> (CHB) ,"",<0>  ,1.87,<1> (CHB) ,
"hudtsnut  ","P",04/20/2016 7:00,1,1,2         ,1         ,"",0.007,<1> (CHB) ,0.06,<1> (CHB) ,"","",0.43,<1> (CHB) ,"",<0>  ,5.68,<1> (CHB) ,
"hudtsnut  ","P",04/20/2016 9:30,1,1,2         ,1         ,"{CCL} {PNP} {TSE} {WS1}",0.005,<1> (CHB) ,0.04,<1> (CHB) ,"","",0.44,<1> (CHB) ,"",<0>  ,2.45,<1> (CHB) ,
"hudtsnut  ","P",04/20/2016 12:00,1,1,2         ,1         ,"",0.006,<1> (CHB) ,0.05,<1> (CHB) ,"","",0.44,<1> (CHB) ,"",<0>  ,1.39,<1> (CHB) ,
"hudtsnut  ","P",04/20/2016 14:30,1,1,2         ,1         ,"",0.005,<1> (CHB) ,0.04,<1> (CHB) ,"","",0.45,<1> (CHB) ,"",<0>  ,2.03,<1> (CHB) ,
"hudtsnut  ","P",04/20/2016 17:00,1,1,2         ,1         ,"",0.006,<1> (CHB) ,0.05,<1> (CHB) ,"","",0.42,<1> (CHB) ,"",<0>  ,3.85,<1> (CHB) ,
