,Parameters,Mean Accuracy,Std Dev Accuracy
7,"{'C': 10.0, 'kernel': 'linear'}",0.9277062107073307,0.004919824044505595
6,"{'C': 1.0, 'kernel': 'linear'}",0.9273388067953533,0.004792936953055179
8,"{'C': 100.0, 'kernel': 'linear'}",0.9271184076213645,0.004424893706973519
9,"{'C': 1000.0, 'kernel': 'linear'}",0.9265305235856529,0.0037714743968929967
5,"{'C': 0.1, 'kernel': 'linear'}",0.9259428284326807,0.004558140353892978
4,"{'C': 0.01, 'kernel': 'linear'}",0.9227099654263636,0.0036693311990802033
3,"{'C': 0.001, 'kernel': 'linear'}",0.9116893861122076,0.002869586848201023
2,"{'C': 0.0001, 'kernel': 'linear'}",0.722283791999089,0.005431021910838282
0,"{'C': 1e-06, 'kernel': 'linear'}",0.2605245597480629,0.00010863455857967885
1,"{'C': 1e-05, 'kernel': 'linear'}",0.2605245597480629,0.00010863455857967885
