,Parameters,Mean Accuracy,Std Dev Accuracy
94,"{'C': 1000.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.9327749599770966,0.003302322637171977
75,"{'C': 10.0, 'gamma': 0.1, 'kernel': 'rbf'}",0.9325545338198593,0.0034747109633592415
84,"{'C': 100.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.9312320848094295,0.003918488691864194
85,"{'C': 100.0, 'gamma': 0.1, 'kernel': 'rbf'}",0.9295421779205253,0.0043385598569374035
65,"{'C': 1.0, 'gamma': 0.1, 'kernel': 'rbf'}",0.9295421509372768,0.003941264639973217
93,"{'C': 1000.0, 'gamma': 0.001, 'kernel': 'rbf'}",0.9290278772035533,0.004008911877292264
74,"{'C': 10.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.9283666796815868,0.003697305357971438
83,"{'C': 100.0, 'gamma': 0.001, 'kernel': 'rbf'}",0.9271175711406603,0.003902649992801699
92,"{'C': 1000.0, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9261623641427166,0.004443708980832556
64,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.9251339785747611,0.0037801016016988506
55,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9245461215222978,0.004202510728794644
73,"{'C': 10.0, 'gamma': 0.001, 'kernel': 'rbf'}",0.9242521929960661,0.004117688600830535
82,"{'C': 100.0, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9241053501575687,0.004252794089935841
91,"{'C': 1000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.9237380002120883,0.004390224240201025
66,"{'C': 1.0, 'gamma': 1.0, 'kernel': 'rbf'}",0.923444179618851,0.004456378969552879
95,"{'C': 1000.0, 'gamma': 0.1, 'kernel': 'rbf'}",0.9232973907468505,0.0032381889418718443
76,"{'C': 10.0, 'gamma': 1.0, 'kernel': 'rbf'}",0.916758621080447,0.004039339746308262
72,"{'C': 10.0, 'gamma': 0.0001, 'kernel': 'rbf'}",0.915582529210041,0.004782771219095945
63,"{'C': 1.0, 'gamma': 0.001, 'kernel': 'rbf'}",0.9155825022267926,0.004960476960935833
90,"{'C': 1000.0, 'gamma': 1e-06, 'kernel': 'rbf'}",0.9155090808075439,0.004688972695312477
81,"{'C': 100.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.9155090808075439,0.004688972695312477
54,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9152151522813121,0.004805732907103557
45,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.9090437325603892,0.004480986780191326
86,"{'C': 100.0, 'gamma': 1.0, 'kernel': 'rbf'}",0.9059580631748003,0.004863622687798899
96,"{'C': 1000.0, 'gamma': 1.0, 'kernel': 'rbf'}",0.8944233180599153,0.005784335916708504
56,"{'C': 0.1, 'gamma': 1.0, 'kernel': 'rbf'}",0.8872967992740428,0.003952455697105288
62,"{'C': 1.0, 'gamma': 0.0001, 'kernel': 'rbf'}",0.8755413311861862,0.005265755155364268
80,"{'C': 100.0, 'gamma': 1e-06, 'kernel': 'rbf'}",0.8755413311861862,0.005265755155364268
71,"{'C': 10.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.8754678558004404,0.0053452439479992255
53,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.8751005058549601,0.005319969906851716
44,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.868120883874082,0.006511015428942566
77,"{'C': 10.0, 'gamma': 10.0, 'kernel': 'rbf'}",0.7143486122380366,0.0064238349181314075
97,"{'C': 1000.0, 'gamma': 10.0, 'kernel': 'rbf'}",0.7142751368522908,0.006295898755122845
87,"{'C': 100.0, 'gamma': 10.0, 'kernel': 'rbf'}",0.7142751368522908,0.006295898755122845
46,"{'C': 0.01, 'gamma': 1.0, 'kernel': 'rbf'}",0.7045033692633276,0.007615398346836694
67,"{'C': 1.0, 'gamma': 10.0, 'kernel': 'rbf'}",0.6998751215258056,0.005555709482654341
35,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}",0.5640294678660541,0.005682905696537641
