,Parameters,Mean Accuracy,Std Dev Accuracy
0,"{'C': 1.0, 'gamma': 1e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
1,"{'C': 1.0, 'gamma': 2.06913808111479e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
2,"{'C': 1.0, 'gamma': 4.281332398719396e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
3,"{'C': 1.0, 'gamma': 8.858667904100832e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
4,"{'C': 1.0, 'gamma': 1.8329807108324375e-05, 'kernel': 'rbf'}",0.28205384533943434,0.003613307180963152
5,"{'C': 1.0, 'gamma': 3.792690190732254e-05, 'kernel': 'rbf'}",0.5177251278391296,0.006011687325044782
6,"{'C': 1.0, 'gamma': 7.847599703514606e-05, 'kernel': 'rbf'}",0.807955447066818,0.008759350821297677
7,"{'C': 1.0, 'gamma': 0.0001623776739188721, 'kernel': 'rbf'}",0.8928191591447948,0.006837171889172304
8,"{'C': 1.0, 'gamma': 0.0003359818286283781, 'kernel': 'rbf'}",0.9085240427830314,0.004485113883284644
9,"{'C': 1.0, 'gamma': 0.0006951927961775605, 'kernel': 'rbf'}",0.914218098637859,0.0030484196971794003
10,"{'C': 1.0, 'gamma': 0.0014384498882876629, 'kernel': 'rbf'}",0.9182592197500121,0.0030026105609374993
11,"{'C': 1.0, 'gamma': 0.002976351441631316, 'kernel': 'rbf'}",0.9210146312163265,0.0031915656463879843
12,"{'C': 1.0, 'gamma': 0.00615848211066026, 'kernel': 'rbf'}",0.9254229352446248,0.0021696373337546197
13,"{'C': 1.0, 'gamma': 0.012742749857031322, 'kernel': 'rbf'}",0.9278106576265008,0.0021343795130263524
14,"{'C': 1.0, 'gamma': 0.026366508987303555, 'kernel': 'rbf'}",0.9294637189112489,0.001435830678424365
15,"{'C': 1.0, 'gamma': 0.05455594781168514, 'kernel': 'rbf'}",0.9315760013801523,0.0021155646779371794
16,"{'C': 1.0, 'gamma': 0.11288378916846883, 'kernel': 'rbf'}",0.9316679552867804,0.0020797411837359904
17,"{'C': 1.0, 'gamma': 0.23357214690901212, 'kernel': 'rbf'}",0.9307495972798516,0.0029919391986809557
18,"{'C': 1.0, 'gamma': 0.4832930238571752, 'kernel': 'rbf'}",0.9300147252792679,0.0029405850482097386
19,"{'C': 1.0, 'gamma': 1.0, 'kernel': 'rbf'}",0.9234940122399931,0.0018399646837356637
20,"{'C': 1.6237767391887217, 'gamma': 1e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
21,"{'C': 1.6237767391887217, 'gamma': 2.06913808111479e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
22,"{'C': 1.6237767391887217, 'gamma': 4.281332398719396e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
23,"{'C': 1.6237767391887217, 'gamma': 8.858667904100832e-06, 'kernel': 'rbf'}",0.261297022507195,0.0011649452214212062
24,"{'C': 1.6237767391887217, 'gamma': 1.8329807108324375e-05, 'kernel': 'rbf'}",0.4138503251920381,0.0032527999371005324
25,"{'C': 1.6237767391887217, 'gamma': 3.792690190732254e-05, 'kernel': 'rbf'}",0.7235502812819388,0.007649363709065681
26,"{'C': 1.6237767391887217, 'gamma': 7.847599703514606e-05, 'kernel': 'rbf'}",0.8801448316210083,0.007212421657336632
27,"{'C': 1.6237767391887217, 'gamma': 0.0001623776739188721, 'kernel': 'rbf'}",0.9048506529360081,0.006026818378348749
28,"{'C': 1.6237767391887217, 'gamma': 0.0003359818286283781, 'kernel': 'rbf'}",0.9137589196343946,0.003208905544179326
29,"{'C': 1.6237767391887217, 'gamma': 0.0006951927961775605, 'kernel': 'rbf'}",0.9171571226525919,0.002953197082705268
30,"{'C': 1.6237767391887217, 'gamma': 0.0014384498882876629, 'kernel': 'rbf'}",0.9195450981186146,0.0028778598509393767
31,"{'C': 1.6237767391887217, 'gamma': 0.002976351441631316, 'kernel': 'rbf'}",0.9239533177855307,0.001742230483503605
32,"{'C': 1.6237767391887217, 'gamma': 0.00615848211066026, 'kernel': 'rbf'}",0.9272595668970997,0.0015975689737273355
33,"{'C': 1.6237767391887217, 'gamma': 0.012742749857031322, 'kernel': 'rbf'}",0.928637188268875,0.001797967440083903
34,"{'C': 1.6237767391887217, 'gamma': 0.026366508987303555, 'kernel': 'rbf'}",0.9308413824637153,0.001247365148224235
35,"{'C': 1.6237767391887217, 'gamma': 0.05455594781168514, 'kernel': 'rbf'}",0.9313924731931162,0.0021811790360471766
36,"{'C': 1.6237767391887217, 'gamma': 0.11288378916846883, 'kernel': 'rbf'}",0.931759824832026,0.001493593003019411
37,"{'C': 1.6237767391887217, 'gamma': 0.23357214690901212, 'kernel': 'rbf'}",0.9316679974674713,0.002978758893244109
38,"{'C': 1.6237767391887217, 'gamma': 0.4832930238571752, 'kernel': 'rbf'}",0.930290291734314,0.0019542603892902326
39,"{'C': 1.6237767391887217, 'gamma': 1.0, 'kernel': 'rbf'}",0.9221166861330555,0.002969073192009962
40,"{'C': 2.636650898730358, 'gamma': 1e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
41,"{'C': 2.636650898730358, 'gamma': 2.06913808111479e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
42,"{'C': 2.636650898730358, 'gamma': 4.281332398719396e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
43,"{'C': 2.636650898730358, 'gamma': 8.858667904100832e-06, 'kernel': 'rbf'}",0.35249855214777753,0.002690072403450365
44,"{'C': 2.636650898730358, 'gamma': 1.8329807108324375e-05, 'kernel': 'rbf'}",0.6309701601136853,0.0037316992466669132
45,"{'C': 2.636650898730358, 'gamma': 3.792690190732254e-05, 'kernel': 'rbf'}",0.8547953751403036,0.005383821068206461
46,"{'C': 2.636650898730358, 'gamma': 7.847599703514606e-05, 'kernel': 'rbf'}",0.8994321635362267,0.00783267951201321
47,"{'C': 2.636650898730358, 'gamma': 0.0001623776739188721, 'kernel': 'rbf'}",0.9111873316199537,0.0036982569356293553
48,"{'C': 2.636650898730358, 'gamma': 0.0003359818286283781, 'kernel': 'rbf'}",0.9157794591001256,0.003252171940018432
49,"{'C': 2.636650898730358, 'gamma': 0.0006951927961775605, 'kernel': 'rbf'}",0.9189939652085224,0.0028678219643018866
50,"{'C': 2.636650898730358, 'gamma': 0.0014384498882876629, 'kernel': 'rbf'}",0.9225758229558287,0.0026723933043397
51,"{'C': 2.636650898730358, 'gamma': 0.002976351441631316, 'kernel': 'rbf'}",0.9256065477930429,0.0018898170371585829
52,"{'C': 2.636650898730358, 'gamma': 0.00615848211066026, 'kernel': 'rbf'}",0.9282697944492743,0.0016722616326265251
53,"{'C': 2.636650898730358, 'gamma': 0.012742749857031322, 'kernel': 'rbf'}",0.9298310283694674,0.0011745701216217905
54,"{'C': 2.636650898730358, 'gamma': 0.026366508987303555, 'kernel': 'rbf'}",0.9318516521965806,0.002063288356053992
55,"{'C': 2.636650898730358, 'gamma': 0.05455594781168514, 'kernel': 'rbf'}",0.931392346651043,0.003135905268691999
56,"{'C': 2.636650898730358, 'gamma': 0.11288378916846883, 'kernel': 'rbf'}",0.9315760435608432,0.0028747059101056275
57,"{'C': 2.636650898730358, 'gamma': 0.23357214690901212, 'kernel': 'rbf'}",0.9320352647449986,0.003031745377824172
58,"{'C': 2.636650898730358, 'gamma': 0.4832930238571752, 'kernel': 'rbf'}",0.9298311970922318,0.0019499126102786677
59,"{'C': 2.636650898730358, 'gamma': 1.0, 'kernel': 'rbf'}",0.9219329470425641,0.002724547213583341
60,"{'C': 4.281332398719393, 'gamma': 1e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
